State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
Hawaii,2003,100549,121734,791438,7,22,46,68.888,178.68300000000002,58.412,17,73,405,164.403,603.0799999999999,511.814,9,44,153,89.556,359.844,193.869,1,7,10,12.972,53.682,12.121,5,5,0,74.49600000000001,76.88499999999999,0.553,10,20,36,97.143,166.16500000000002,45.824,17,36,57,169.883,293.88199999999995,71.927,12,47,172,123.858,386.069,217.209
Michigan,2003,902553,1108787,6328980,54,191,385,60.237,172.44799999999998,60.76,164,733,3487,182.149,660.8009999999999,550.999,121,490,1710,133.84199999999998,441.521,270.232,14,70,125,15.66,63.24399999999999,19.788,51,38,5,66.869,74.18299999999999,1.517,79,211,313,87.733,189.878,49.494,146,356,550,161.73299999999998,320.783,86.833,140,539,2009,154.904,486.272,317.364
Nevada,2003,192336,228424,1437719,13,41,99,66.876,180.282,68.79100000000001,33,129,711,174.098,562.625,494.352,21,83,390,110.135,361.575,271.082,3,14,20,15.123,60.195,13.733,11,6,1,68.309,53.245,1.378,15,35,65,78.151,152.39,44.945,33,59,105,171.134,256.754,72.74600000000001,26,97,441,134.91500000000002,423.571,307.004
New York,2003,1571709,2047533,12344264,86,323,661,54.891000000000005,157.61700000000002,53.577,299,1313,6910,190.07,641.408,559.801,174,817,2976,110.404,399.055,241.084,22,156,225,13.863,76.00999999999999,18.262,86,77,9,62.79600000000001,76.523,1.218,133,439,613,84.62,214.597,49.672,235,678,970,149.474,330.986,78.614,196,881,3379,124.926,430.314,273.728
Pennsylvania,2003,1034227,1315867,8027780,58,251,475,56.337,190.684,59.205,184,856,4379,177.508,650.398,545.43,142,586,2086,137.31799999999998,445.272,259.866,17,95,160,16.775000000000002,72.473,19.975,57,48,6,63.284000000000006,75.21600000000001,1.268,80,233,310,77.523,177.426,38.676,149,405,539,143.93800000000002,307.61,67.116,164,656,2559,158.489,498.761,318.722
Texas,2003,2038642,2577160,12992311,113,405,774,55.423,157.06400000000002,59.61000000000001,340,1430,6465,166.87099999999998,554.831,497.565,228,977,3401,111.664,378.9620000000001,261.78000000000003,50,158,216,24.457,61.39,16.632,102,75,11,57.748,50.731,1.263,122,325,379,59.671,126.078,29.156,272,559,664,133.265,216.891,51.079,264,1081,3967,129.632,419.642,305.34099999999995
Alabama,2004,380150,506120,2871062,21,64,161,54.66,126.724,56.095,61,266,1254,159.748,526.256,436.939,47,197,773,124.25,388.654,269.372,6,31,43,15.925999999999998,60.775000000000006,15.039,17,14,3,51.428,51.097,1.531,26,71,87,67.209,139.53799999999998,30.454,48,124,156,126.519,245.615,54.321,61,234,934,159.465,462.976,325.489
California,2004,3290671,3974135,21850567,200,665,1395,60.806,167.423,63.85399999999999,533,2187,11879,162.028,550.198,543.667,295,1206,3822,89.709,303.49,174.903,52,251,322,15.880999999999998,63.122,14.729,164,126,21,57.477,57.879,1.635,247,643,1061,74.991,161.887,48.548,458,1102,1762,139.21900000000002,277.279,80.63,358,1353,4459,108.731,340.423,204.054
Florida,2004,1404055,1719548,11530104,81,291,802,57.603,169.437,69.58300000000001,239,1008,6382,170.06199999999998,585.913,553.466,142,620,2798,101.047,360.367,242.635,25,139,223,17.705,80.754,19.298,73,49,10,60.007,56.774,1.439,102,309,452,72.884,179.681,39.199,203,506,766,144.831,294.128,66.44500000000001,168,721,3316,119.509,419.212,287.626
Hawaii,2004,100585,123191,796942,5,22,43,53.72,175.057,53.803,14,71,396,137.357,577.742,496.298,8,44,147,77.192,357.082,184.144,2,7,11,15.016,54.883,14.328,5,4,1,62.499,66.521,1.897,8,21,35,76.05099999999999,166.669,43.639,14,36,62,144.05399999999997,289.861,77.956,10,49,170,102.966,394.285,213.193
